blur_restaurant_uuid,date,weekday,site_id,village,price,yyyy-mm
r3588c2,2022-04-14,4,高雄市鳳山區,忠義里,5450.0,2022-04
r3588c2,2022-04-15,5,高雄市鳳山區,忠義里,5612.0,2022-04
r3588c2,2022-04-16,6,高雄市鳳山區,忠義里,13917.0,2022-04
r3588c2,2022-04-17,7,高雄市鳳山區,忠義里,19173.0,2022-04
r3588c2,2022-04-19,2,高雄市鳳山區,忠義里,6860.0,2022-04
r3588c2,2022-04-20,3,高雄市鳳山區,忠義里,9600.0,2022-04
r3588c2,2022-04-21,4,高雄市鳳山區,忠義里,4802.0,2022-04
r3588c2,2022-04-22,5,高雄市鳳山區,忠義里,6350.0,2022-04
r3588c2,2022-04-23,6,高雄市鳳山區,忠義里,14170.0,2022-04
r3588c2,2022-04-24,7,高雄市鳳山區,忠義里,17688.0,2022-04
r3588c2,2022-04-26,2,高雄市鳳山區,忠義里,9907.0,2022-04
r3588c2,2022-04-27,3,高雄市鳳山區,忠義里,7944.0,2022-04
r3588c2,2022-04-28,4,高雄市鳳山區,忠義里,6136.0,2022-04
r3588c2,2022-04-29,5,高雄市鳳山區,忠義里,5214.0,2022-04
r3588c2,2022-04-30,6,高雄市鳳山區,忠義里,15798.0,2022-04
r3588c2,2022-05-01,7,高雄市鳳山區,忠義里,20150.0,2022-05
r3588c2,2022-05-02,1,高雄市鳳山區,忠義里,8777.0,2022-05
r3588c2,2022-05-04,3,高雄市鳳山區,忠義里,6486.0,2022-05
r3588c2,2022-05-05,4,高雄市鳳山區,忠義里,5739.0,2022-05
r3588c2,2022-05-06,5,高雄市鳳山區,忠義里,6430.0,2022-05
r3588c2,2022-05-07,6,高雄市鳳山區,忠義里,12314.0,2022-05
r3588c2,2022-05-08,7,高雄市鳳山區,忠義里,14133.0,2022-05
r3588c2,2022-05-10,2,高雄市鳳山區,忠義里,10147.0,2022-05
r3588c2,2022-05-11,3,高雄市鳳山區,忠義里,7513.0,2022-05
r3588c2,2022-05-12,4,高雄市鳳山區,忠義里,8872.0,2022-05
r3588c2,2022-05-13,5,高雄市鳳山區,忠義里,6669.0,2022-05
r3588c2,2022-05-14,6,高雄市鳳山區,忠義里,17243.0,2022-05
r3588c2,2022-05-15,7,高雄市鳳山區,忠義里,11089.0,2022-05
r3588c2,2022-05-17,2,高雄市鳳山區,忠義里,8719.0,2022-05
r3588c2,2022-05-18,3,高雄市鳳山區,忠義里,5578.0,2022-05
r3588c2,2022-05-19,4,高雄市鳳山區,忠義里,9945.0,2022-05
r3588c2,2022-05-20,5,高雄市鳳山區,忠義里,7493.0,2022-05
r3588c2,2022-05-21,6,高雄市鳳山區,忠義里,15200.0,2022-05
r3588c2,2022-05-22,7,高雄市鳳山區,忠義里,19081.0,2022-05
r3588c2,2022-05-24,2,高雄市鳳山區,忠義里,8023.0,2022-05
r3588c2,2022-05-25,3,高雄市鳳山區,忠義里,7481.0,2022-05
r3588c2,2022-05-26,4,高雄市鳳山區,忠義里,5079.0,2022-05
r3588c2,2022-05-27,5,高雄市鳳山區,忠義里,7523.0,2022-05
r3588c2,2022-05-28,6,高雄市鳳山區,忠義里,15489.0,2022-05
r3588c2,2022-05-29,7,高雄市鳳山區,忠義里,20784.0,2022-05
r3588c2,2022-05-31,2,高雄市鳳山區,忠義里,11669.0,2022-05
r3588c2,2022-06-01,3,高雄市鳳山區,忠義里,7778.0,2022-06
r3588c2,2022-06-02,4,高雄市鳳山區,忠義里,6534.0,2022-06
r3588c2,2022-06-03,5,高雄市鳳山區,忠義里,12276.0,2022-06
r3588c2,2022-06-04,6,高雄市鳳山區,忠義里,8461.0,2022-06
r3588c2,2022-06-05,7,高雄市鳳山區,忠義里,17576.0,2022-06
r3588c2,2022-06-07,2,高雄市鳳山區,忠義里,11887.0,2022-06
r3588c2,2022-06-08,3,高雄市鳳山區,忠義里,4714.0,2022-06
r3588c2,2022-06-09,4,高雄市鳳山區,忠義里,7522.0,2022-06
r3588c2,2022-06-10,5,高雄市鳳山區,忠義里,5535.0,2022-06
r3588c2,2022-06-11,6,高雄市鳳山區,忠義里,11919.0,2022-06
r3588c2,2022-06-12,7,高雄市鳳山區,忠義里,16710.0,2022-06
r3588c2,2022-06-14,2,高雄市鳳山區,忠義里,11165.0,2022-06
r3588c2,2022-06-15,3,高雄市鳳山區,忠義里,6298.0,2022-06
r3588c2,2022-06-16,4,高雄市鳳山區,忠義里,9009.0,2022-06
r3588c2,2022-06-17,5,高雄市鳳山區,忠義里,8629.0,2022-06
r3588c2,2022-06-18,6,高雄市鳳山區,忠義里,16383.0,2022-06
r3588c2,2022-06-19,7,高雄市鳳山區,忠義里,16282.0,2022-06
r3588c2,2022-06-21,2,高雄市鳳山區,忠義里,10021.0,2022-06
r3588c2,2022-06-22,3,高雄市鳳山區,忠義里,9532.0,2022-06
r3588c2,2022-06-23,4,高雄市鳳山區,忠義里,8119.0,2022-06
r3588c2,2022-06-24,5,高雄市鳳山區,忠義里,11540.0,2022-06
r3588c2,2022-06-25,6,高雄市鳳山區,忠義里,13061.0,2022-06
r3588c2,2022-06-26,7,高雄市鳳山區,忠義里,20420.0,2022-06
r3588c2,2022-06-28,2,高雄市鳳山區,忠義里,8988.0,2022-06
r3588c2,2022-06-29,3,高雄市鳳山區,忠義里,9435.0,2022-06
r3588c2,2022-06-30,4,高雄市鳳山區,忠義里,5835.0,2022-06
r3588c2,2022-07-01,5,高雄市鳳山區,忠義里,8459.0,2022-07
r3588c2,2022-07-02,6,高雄市鳳山區,忠義里,12180.0,2022-07
r3588c2,2022-07-03,7,高雄市鳳山區,忠義里,15529.0,2022-07
r3588c2,2022-07-05,2,高雄市鳳山區,忠義里,10312.0,2022-07
